Название вакансии,URL,Название компании,Описание
Ветеринарный фельдшер,https://belgorod.hh.ru/vacancy/34638593?query=1c,ЗАО Ренна-Холдинг,"Оказание лечебной и профилактической помощи животным. Подготовка инструментов и материалов. Консультация по вопросам лечения животных, профилактики их заболеваний, санитарным нормам... Высшее/среднее образование по специальности ""Ветеринария"". Знания причин, механизмов развития, клинических проявлений, методы диагностики, осложнения, принципы лечения и профилактики болезней..."
Менеджер по продажам строительных материалов,https://belgorod.hh.ru/vacancy/34635142?query=1c,ООО Декоратор,Расчет всех необходимых материалов. - Формирование заказов и выставление счетов в 1С 8. - Полное сопровождение сделки от момента обращения до... Знания и умения работать в 1С 8. - Опыт работы в продажах строительных материалов. - Уверенный пользователь ПК (офисные приложения MS...
Управляющий салоном мебели МЦ Аэробус,https://belgorod.hh.ru/vacancy/33107647?query=1c,ООО Торговый дом Лазурит,"...базовыми правилами компании. 4. Следить за выполнением всех стандартов компании сотрудниками. 9. Обучение в программах 1С, дизайнерской программе (визуализация). Достижение и перевыполнения плана салона. 6. Понимание специфики бизнес-процессов в розничной торговле. 7. Опыт работы в 1С желателен."
Управляющий салоном мебели МЦ Мебельный Город,https://belgorod.hh.ru/vacancy/34118462?query=1c,ООО Торговый дом Лазурит,"...базовыми правилами компании. 4. Следить за выполнением всех стандартов компании сотрудниками. 9. Обучение в программах 1С, дизайнерской программе (визуализация). Достижение и перевыполнения плана салона. 6. Понимание специфики бизнес-процессов в розничной торговле. 7. Опыт работы в 1С желателен."
Начальник экономического отдела,https://belgorod.hh.ru/vacancy/34024519?query=1c,ООО Ваш хлеб,"организация финансового планирования. - контроль исполнения утвержденных бюджетов. - управление бюджетированием (БДР, БДДС). - финансово-экономический анализ. - взаимодействие со структурами производства (цехами, отделами). -  высшее экономическое образование. - уверенный пользователь ПК (Word, Excel, 1С). - опыт работы в сфере финансов на пищевом производстве, экономики от..."
Управляющий салоном мебели ТЦ Спутник,https://belgorod.hh.ru/vacancy/34118503?query=1c,ООО Торговый дом Лазурит,"...базовыми правилами компании. 4. Следить за выполнением всех стандартов компании сотрудниками. 9. Обучение в программах 1С, дизайнерской программе (визуализация). Достижение и перевыполнения плана салона. 6. Понимание специфики бизнес-процессов в розничной торговле. 7. Опыт работы в 1С желателен."
Программист 1С,https://belgorod.hh.ru/vacancy/34020253?query=1c, Сеть салонов связи +7,"Поиск и устранение ошибок в работе ПО 1С. Консультация пользователей 1С. Составление инструкций по работе в 1С.  Знание ПО 1С8 Розница. Доработка типовых конфигураций, разработка ТЗ. Наличие сертификатов 1С (преимущество). Наличие прочих сертификатов (приветствуется). "
Директор по производству,https://belgorod.hh.ru/vacancy/34632143?query=1c,ОАО Ракитянский арматурный завод,"Разрабатывает и выполняет план производства. Руководит работой по формированию производственной политики и стратегии развития производства, определению ее основных направлений в... Высшее профессиональное (техническое или инженерно-экономическое) образование. Опыт работы на производстве, в состав которого входят станки лазерной и плазменной резки..."
Начальник отдела операционного контроллинга,https://belgorod.hh.ru/vacancy/34626799?query=1c,"ООО Зеленая долина, ГК","Контроль нормирования затрат на производство единицы продукции и в целом, нормирование складских запасов, дебиторской и кредиторской задолженности. Контроль достижения подконтрольных... ...умение анализировать, готовность к обработке больших объемов информации. Уверенное владение ПК (MS Word, MS Excel, PowerPoint,1C 8 бухгалтерия)."
Заместитель управляющего салона мебели ТЦ Мега Гринн,https://belgorod.hh.ru/vacancy/33090818?query=1c,ООО Торговый дом Лазурит,"...базовыми правилами компании. 4. Следить за выполнением всех стандартов компании сотрудниками. 9. Обучение в программах 1С, дизайнерской программе (визуализация). Достижение и перевыполнения плана салона. 6. Понимание специфики бизнес-процессов в розничной торговле. 7. Опыт работы в 1С желателен."
