Название вакансии,URL,Название компании,Описание 
Программист 1С УПП 8.2,https://belgorod.hh.ru/vacancy/33950597?query=1c,ОАО ПРОГРЕСС,Администрирование системы 1С УПП. - Управление правами доступа к данным. - Консультации пользователей системы на платформе 1 С. - Выполнение поступающих запросов... Знание платформы 1С УПП. Хорошее знание функционала 1С бух. и ЗиК (ЗУП). Опыт разработки на платформе 1С...
Бухгалтер по учету розничной торговли,https://belgorod.hh.ru/vacancy/34249473?query=1c, Мебель-Маркет,"Учет поступления и реализации товаров по торговым точкам. Учет и анализ коммерческих расходов. Расчет точки безубыточности. Высшее образование, знание 1С:8.3-УПП. Умение работать с большим потоком информации. Опыт работы в производстве."
Системный администратор,https://belgorod.hh.ru/vacancy/34551633?query=1c,ООО Про Лайф,"Поддержка 1С. Закупка необходимого IT-оборудования. Администрирование ПК пользователей, около 15 компьютеров . Настройка мини-АТС Panasonic серии TDE, TDA.  Наличие образования. Опыт работы."
"Менеджер по продажам (кровля, фасад)",https://belgorod.hh.ru/vacancy/34544121?query=1c, ГК СТРОЙБАТ,"Расчет кровли, сайдинга в программе. Работа в программе 1С. Консультирование клиентов. Обслуживание розничных клиентов. Опыт работы в продажах обязателен. Знание строительных материалов. Умение считать. Грамотная речь, коммуникабельность. Ответственность."
Менеджер по продажам (г. Короча),https://belgorod.hh.ru/vacancy/30846761?query=1c, Сеть салонов связи +7,"Обслуживание покупателей, консультирование по ассортименту. - Информирование покупателей о специальных акциях, предложениях. - Работа с кассовой документацией. "
Программист-консультант,https://belgorod.hh.ru/vacancy/34242675?query=1c," ЭФКО, Управляющая компания","...1С. Внедрение программного обеспечения на платформе ""1С: Предприятие"" в структурных подразделениях. Компании. Тестирование доработок конфигураций на платформе 1... Высшее техническое образование. Знание не менее 1-й конфигурации 1С. Опыт работы в качестве консультанта по. Программам 1С."
Помощник начальника площадки,https://belgorod.hh.ru/vacancy/34538202?query=1c,"ПАО Группа предприятий «Черкизово», Сегмент «Птицеводство»","Осуществление процесса организации труда птичник и других членов площадки в соответствии с зоотехническими требованиями к птице, анализ использования рабочей силы... Высшее профессиональное образование. Уверенный пользователь ПК (Excel, Word, Internet, Outlook, 1C). Ответственность, нацеленность на результат, исполнительность, наличие лидерских качеств."
Кладовщик,https://belgorod.hh.ru/vacancy/34524507?query=1c,ООО Завод МикроДАТ,"Оформление складской документации и внесение информации в 1С. Обеспечение своевременной подготовки производственного участка материалами, комплектующими и инструментом. Проведение инвентаризации.  В/о. Опыт работы кладовщиком от 3-х лет. Знание первичной документаци."
Начальник планово-экономического отдела,https://belgorod.hh.ru/vacancy/34521205?query=1c,АО Кондитерская фабрика БЕЛОГОРЬЕ,"Участие в формировании финансово-экономической стратегии предприятия. Разработка краткосрочных и долгосрочных планов деятельности предприятия. Ежедневный экономический анализ и учет показателей... ...финансово-хозяйственной деятельности предприятия и опыт применения на практике. Уверенное владение 1С 8.3, САПР. Направление деятельности- Производство/Торговля."
Заместитель директора по строительству и эксплуатации,https://belgorod.hh.ru/vacancy/34530211?query=1c, Импэкс,"Разработка технического задания к проектированию. Руководство над проектными работами. Организация тендеров на строительные работы. Проверка смет и актов выполненных работ.  Владение компьютерными программами: Автокад, 1С. Владение иностранным языком: английский. Рекомендации с прошлых мест работы, от заказчиков, перечень реализованных проектов."
Бухгалтер по расчетам с покупателями,https://belgorod.hh.ru/vacancy/34504353?query=1c, Группа Компаний Добрыня,"Формирование, корректировки, контроль документов реализации. Начислений премий, бонусов покупателям. Контроль и отражение штрафов сетей. Работа с покупателями по просроченной дебиторской... ...учета, производственного учета, общей системы налогообложения, формирования НДС и книги продаж. Опытный пользователь ПК: 1С УПП, MS Office, Edisoft."
Менеджер по работе с клиентами,https://belgorod.hh.ru/vacancy/34538526?query=1c,ООО ТЕХНОЛАЙН-ЛКМ,"...предварительные переговоры с покупателями. Оформлять договорную документацию с контрагентами, сопровождать сделки с покупателями, оформлять первичные документы 1С. И др. Высшее образование (желательно). Опыт работы в продажах ЛКМ, строительных материалов, инструмента. Знание методов и систем продвижения товаров в опте и..."
Упаковщик мороженого,https://belgorod.hh.ru/vacancy/34547575?query=1c,ООО Бизнес-Ресурс,"Мороженого. Обязанности: укладка, фасовка готовой продукции. "
Региональный представитель по продажам фармацевтических препаратов,https://belgorod.hh.ru/vacancy/34093220?query=1c,ООО Фармкомплект,"Продажи фармацевтических препаратов. Работа с существующей клиентской базой. Расширение клиентской базы. Личные встречи, переговоры, заключение контрактов, полное ведение сделки.  Опыт работы на фармрынке - обязательно. Успешный опыт личных продаж. Знание 1С, MS Office, internet."
Менеджер по продажам в салон - магазин,https://belgorod.hh.ru/vacancy/34419720?query=1c, ГК СТРОЙБАТ,"Продажа напольных покрытий, межкомнатных и входных дверей, сопутствующих товаров или керамической плитки и керамогранита. Работа в программе 1С 8... знание материала - напольных покрытий, дверей, плитки и керамогранита - будет преимуществом. - опыт работы в программе 1С. - желание зарабатывать, развиваться, учиться. - "
Администратор сервисного центра,https://belgorod.hh.ru/vacancy/34528957?query=1c,ООО Группа Компаний АвтоСеть,"Осуществление работы по эффективному и культурному обслуживанию посетителей, создание для них комфортных условий. Консультация посетителей по вопросам, касающимся оказываемых услуг... ...и подбора запасных частей (приветствуются). - знание устройства автомобилей иностранного производства и принципов ремонта обязательно. - знания 1С, MS Office (приветствуются)."
Начальник площадки,https://belgorod.hh.ru/vacancy/34537582?query=1c,"ПАО Группа предприятий «Черкизово», Сегмент «Птицеводство»","Осуществление процесса организации труда сотрудников площадки в соответствии с зоотехническими требованиями. Планирование объемов производства продукции. Осуществление и контроль движения птицеголовья.  Знание технологии выращивания родительского стада кур и производства инкубационного яйца. Знание 1С, MS Office. Высшее техническое образование. "
Энергетик,https://belgorod.hh.ru/vacancy/34519950?query=1c,ООО Белдорстрой,"Организация технически правильной эксплуатации и своевременного ремонта энергетического и природоохранного оборудования и энергосистем. Организация бесперебойного обеспечения производства электроэнергией, паром, газом... Высшее профессиональное (техническое) образование и опыт работы по специальности на инженерно-технических в соответствующей профилю организации отрасли не менее пяти..."
Энергетик,https://belgorod.hh.ru/vacancy/34519951?query=1c,ООО Белдорстрой,"Организация технически правильной эксплуатации и своевременного ремонта энергетического и природоохранного оборудования и энергосистем. Организация бесперебойного обеспечения производства электроэнергией, паром, газом... Высшее профессиональное (техническое) образование и опыт работы по специальности на инженерно-технических в соответствующей профилю организации отрасли не менее пяти..."
Энергетик,https://belgorod.hh.ru/vacancy/34519921?query=1c,ООО Белдорстрой,"Организация технически правильной эксплуатации и своевременного ремонта энергетического и природоохранного оборудования и энергосистем. Организация бесперебойного обеспечения производства электроэнергией, паром, газом... Высшее профессиональное (техническое) образование и опыт работы по специальности на инженерно-технических в соответствующей профилю организации отрасли не менее пяти..."
Менеджер по работе с клиентами,https://belgorod.hh.ru/vacancy/34537620?query=1c,ООО Белгородский завод фрез,Ведение деловых переговоров с клиентами. Контроль над отгрузками товара и расчетами с покупателями. Ввод первичной документации в 1С. Высшее образование (желательно техническое). Опыт работы в продажах инструмента. Навыки активных продаж.
Бухгалтер,https://belgorod.hh.ru/vacancy/34526765?query=1c,ООО Высота-31,"Учет ТМЦ, учёт взаиморасчётов с поставщиками, покупателями, акты сверок. Книга покупок и продаж. Учет подотчетных лиц. Знание 1С: «Предриятие», Excel, Word, работа с Банком-Онлайн. Опыт работы в сфере строительства, энергетики от 3-х лет."
Экономист,https://belgorod.hh.ru/vacancy/33943129?query=1c,ООО Юго-Западная Торговая Компания,"Планирование сменных производственных заданий. Планирование и нормирование комплектующих и расходных материалов для бесперебойной работы всех участков производства. Анализ и корректировка... Знание компьютерных программ Microsoft Word, Excel, 1C. Аналитическое мышление."
Главный тестовод хлебобулочного производства,https://belgorod.hh.ru/vacancy/34535075?query=1c,ООО Оранжевый остров,"Обеспечивать выпуск и полный процесс качества производства изготовления слоеного теста, согласно технологическим картам с соблюдением установленной технологии производства.  Опыт работы с слоеным тестом."
Менеджер по закупкам строительных материалов,https://belgorod.hh.ru/vacancy/34515748?query=1c, СтройДисконт,"Обеспечение наличия товара в оптимальном количестве и качестве. Взаимодействие с текущими поставщиками. Поиск новых поставщиков. Ведение переговоров. Управление товарными запасами... Опыт работы в закупках, навыки работы с большим ассортиментом. Знание номенклатуры строительных материалов. Знание 1С, офисных программ (MS Office). "
Продавец-пекарь,https://belgorod.hh.ru/vacancy/34535735?query=1c,ООО Оранжевый остров,Продажа замороженных хлебобулочных изделий/продукции. Обслуживание покупателей. Работа с кассой. Опыт работы в рознице (желателен).
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34528642?query=1c, Восток-Сервис,"Выставление счетов на оплату, выписка товарных накладных в программе 1С: Предприятие. Работа с дебиторской задолженностью. Работа с рекламациями.  Активная жизненная позиция. Желание работать и зарабатывать в данном сегменте бизнеса. Высокая готовность к интенсивному техническому погружению в продукт продаж..."
Менеджер отдела оптовых продаж,https://belgorod.hh.ru/vacancy/34521911?query=1c, ОАУ Белгородское рекрутинговое агентство,Обеспечения продаж по действующим клиентам: Обработка заявок и сверка по взаиморасчетам. Поиск новых клиентов на закрепленной территории за менеджером.  Опыт в оптовых продажах В2В. Опыт работы в программе 1С. Знание офисных программ в совершенстве предпочтительно Excel...
Старший оператор отдела экспедиции,https://belgorod.hh.ru/vacancy/30373535?query=1c,ООО Ваш хлеб,Выписка сопроводительных документов на отгрузку. Маршрутизация с полным контролем водителей собственного и наемного автопарка. Сдача отчетности по отгрузке.  Опыт работы. Знание программы 1-С. Ответственность.
Бухгалтер,https://belgorod.hh.ru/vacancy/33403198?query=1c, MYBOX,"Подготовка и сдача отчетности в ИФНС. Обработка первичной документации. Участие в инвентаризации и анализ результатов. Сверка с контрагентами. Контроль подотчета.  Желателен опыт работы в розничной сети (общепит), опыт работы в программе 1С:8 (общепит), ERP. Опыт проведения инвентаризации. "
Мастер смены,https://belgorod.hh.ru/vacancy/34521226?query=1c, ОАУ Белгородское рекрутинговое агентство,"Ведение технологического процесса производства сгущенного молока. Расчет паспортов по базовым рецептурам. Обеспечение сменными заданиями. Ведение первичной документации, расстановка людей по... Высшее образование по профилю. Знание специальных программ: WORD, EXCEL: Опыт работы от 1 года на аналогичном производстве."
Специалист по технической поддержке,https://belgorod.hh.ru/vacancy/34505175?query=1c,"ООО Зеленая долина, ГК","Обеспечение работоспособности автоматизированных весовых платформ в части оборудования и программы автоматизированного сбора данных в 1С УСХП. Обеспечение работоспособности компьютерной... Образование среднее специальное, высшее (IT). Опыт работы от 1 года. Знание устройства компьютера, понимание принципов работы вычислительной техники, принципов работы..."
Менеджер по персоналу,https://belgorod.hh.ru/vacancy/34111160?query=1c," Мираторг, Агропромышленный холдинг","Организация и ведение кадрового документооборота. Оформление приема, перевода, увольнения персонала. Ооформление отпусков, больничных листов. Ведение учета рабочего времени работников.  Владение пакетом МS Office (Word, Excel-математические формулы, Outlook), желательно знание 1С:8.0 «Зарплата и управление персоналом». "
Экономист по финансированию,https://belgorod.hh.ru/vacancy/34498330?query=1c,"ООО Зеленая долина, ГК","Экономико-финансовое моделирование математических моделей инвестиционных проектов. Проведение план-факторного анализа производственной, экономической и финансовой деятельности холдинга. Формирование консолидированной отчетности... Навык экономическо-финансового моделирования математических моделей инвестиционных проектов. Опытный пользователь 1С (УПП, УСХП), Project Expert, Excel, Word, Power Point..."
Менеджер по персоналу,https://belgorod.hh.ru/vacancy/33198922?query=1c, Группа компаний Лето,"Подбор персонала от рабочих до ТОП-менеджеров. Организация адаптации новых сотрудников. Ведение кадрового делопроизводства в полном объеме (все участки).  Уверенное знание правил ведения кадрового делопроизводства, опыт работы в 1С Предприятие: ЗУП 3.1 приветствуется. Высокая работоспособность, нацеленность на..."
Кассир,https://belgorod.hh.ru/vacancy/33417738?query=1c,ООО Группа Компаний АвтоСеть,"Работа с покупателями на кассе, в т.ч. безналичный расчет. Оформление кредитов. Выкладка товара в прикассовой зоне. Работа с ценниками.  Опыт работы с кассовым аппаратом. Знание 1С (желательно). Грамотная речь, внимательность, исполнительность, доброжелательность, ответственность."
Администратор/Управляющий мебельным салоном (ТРЦ Сити Молл),https://belgorod.hh.ru/vacancy/34343797?query=1c," Орматек, ГК","Контроль соблюдения всеми сотрудниками салона высоких стандартов обслуживания. Оформление заказов в базе 1С. Сопровождение клиентов и ведение клиентской базы.  Опыт успешных личных продаж. ПК — уверенный пользователь (1С, MS Office). Опыт управления персоналом. Развитые лидерские качества, исполнительность, ответственность, нацеленность..."
Маркетолог,https://belgorod.hh.ru/vacancy/33419659?query=1c, Белая Птица,"Проводить анализ рынка, анализировать конкурентную среду. Координировать мерчандайзинг продукта. Наблюдать за положением продукта на рынке. Определять и проводить анализ отношения... POS материалов. Брендирование. Знание рынка рекламы (ATL и BTL). Приветствуется знание английского языка. Работа с программами MS Office, 1С."
Старший специалист по технической поддержке,https://belgorod.hh.ru/vacancy/33700168?query=1c,"ПАО Группа предприятий «Черкизово», Сегмент «Птицеводство»","Установка и настройка операционных систем Windows 7/10, а так же вспомогательных программ. Резервное копирование данных на ПК, перенос данных... Опыт работы в программах: active directory, MS Windows, MS Office, 1С УПП, работа с оснастками Windows AD. "
Кладовщик,https://belgorod.hh.ru/vacancy/34513828?query=1c,АО Интехсервис,"отгрузка со склада и прием товара на склад. - управление автопогрузчиком. - комплектация заказа по накладной. - проверка заказов. - инвентаризации. - учёт ТМЦ. опыт работы кладовщиком. - желательно знание 1С. - внимательность, аккуратность."
Продавец-консультант мебели,https://belgorod.hh.ru/vacancy/32829482?query=1c, Мебель-Маркет,активно продавать мебель покупателям. - выписывать товар в программе 1С. - обновлять ценники. - поддерживать чистоту выставочных образцов. Вы активный и коммуникабельный. - у вас Высшее или среднее профессиональное образование. - Вам нравится работать в сфере продаж. - Вы уверенный пользователь...
Продавец-консультант,https://belgorod.hh.ru/vacancy/34094166?query=1c, АВС-электро,"Консультирование покупателей по ассортименту и техническим характеристикам продукции. Ведение учета продаж, работа в 1С:Торговля. Оформление витрин, соблюдение стандартов... Успешный опыт работы в розничных продажах. Среднее специальное / высшее образование (желательно техническое). Базовые знания электротехники являются преимуществом. Коммуникабельность и клиентоориентированность. "
"Продавец-консультант фирменного магазина обуви ""CARLO PAZOLINI "" (ТРЦ Ситимолл Белгородский)",https://belgorod.hh.ru/vacancy/34505679?query=1c, Торговая сеть Сталос,"Поддерживать высокий уровень обслуживания клиентов. Помогать в создании модного образа. Консультировать клиентов по продукту: ассортиментный ряд, цены, акции, бонусная система... Доброжелательность и развитые коммуникативные навыки. Активную жизненную позицию. Клиентоориентированность. Ответственность за результат. Стремление к получению новых знаний и финансовой независимости. "
"Продавец-консультант в магазин одежды ""Oodji"" (ТРЦ БОШЕ)",https://belgorod.hh.ru/vacancy/34259699?query=1c, Торговая сеть Сталос,"Рассказывать о стилях, тенденциях, трендах. Помогать посетителям с выбором одежды или аксессуаров. Помогать в составлении цельного образа. Подбирать посетителям размеры... Обучены и готовы применять полученные навыки на практике."
"Продавец-консультант в магазин одежды ""TERRANOVA"" (ТРЦ БОШЕ)",https://belgorod.hh.ru/vacancy/34509435?query=1c, Торговая сеть Сталос,"Консультировать покупателей по ассортиментному ряду товара, ценам, акциям, бонусной системе. Принимать участие в распаковке, в выкладке товара, в его приеме... Интерес к моде, желание работать и развиваться в данной сфере. Отличные коммуникативные навыки. Активность. Ответственность. Дисциплинированность. Опыт работы мерчендайзером, как..."
Оператор call-центра/специалист контактного центра,https://belgorod.hh.ru/vacancy/34497605?query=1c,ООО Современное репетиторство,"Совмещение с другой работой НЕВОЗМОЖНО. Обязанности: - Приём и обработка входящих заявок от клиентов, для подбора репетиторов на сайте. - Оформление заявок. -  Уединённое оборудованное рабочее место (стол, компьютер с операционной системой windows (не ниже wind. 7!), объём оперативной памяти ОТ 4 Гб..."
Инженер-теплотехник,https://belgorod.hh.ru/vacancy/34506912?query=1c,"ПАО Группа предприятий «Черкизово», Сегмент «Птицеводство»","Взаимодействовать с представителями сторонних организаций по вопросам, входящим в его компетенцию. Представлять установленную отчетность. Своевременно организовывать обучение подчиненного персонала вопросам... Стаж желателен от 3-х лет. Образование среднее специальное/ высшее профильное. Excel, Word, 1С, Outlook."
Менеджер по учету (производство),https://belgorod.hh.ru/vacancy/34507151?query=1c, Группа Компаний Добрыня,"Внесение ежедневных производственных нарядов по сдельно-премиальной системе оплаты труда в программу 1С УПП. Ведение необходимых журналов, сводных анализов... Опыт работы экономистом по труду, нормировщиком или бухгалтером по заработной плате от 3-х лет. Опытный пользователь ПК: 1С..."
Менеджер в ресторан KFC,https://belgorod.hh.ru/vacancy/34502808?query=1c,ООО Сити Ресторантс,"Обеспечение соблюдения технологических процессов производства. Работа с R-Keeper, программой учета рабочего времени сотрудников и 1С-Рарус. Наличие опыта работы менеджером в ресторанном бизнесе. Навыки управления персоналом. Хорошие навыки планирования, организации и контроля. Опыт по ведению кассовых..."
Программист 1С:ERP,https://belgorod.hh.ru/vacancy/34219661?query=1c," Семь Дней, Торговая Сеть","Консультирование сотрудников компании по порядку работы с 1С ERP. Доработка конфигураций под нужды компании согласно техническому заданию, интеграция сторонних... Опыт работы от 2 лет техническим специалистом. Уверенное знание принципов бухгалтерского и налогового учета. Знание современных языков программирования и опыт..."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34508062?query=1c,ООО Агроперевозка,Участие в претензионной работе. Формирование задач по сделкам помощнику менеджера. Ведение учета в CRM системе и 1С. Ответственного. Позитивного. Не боящийся слова нет. Инициативного. Быстро обучаемого. Коммуникабельного. “Продажника” по состоянию души. Амбициозного. С грамотной речью. Исполнительного. Организованного. 
Бухгалтер по расчету заработной платы,https://belgorod.hh.ru/vacancy/34503568?query=1c, Торговая сеть Сталос,"Начисление межрасчетных выплат сотрудникам. Ежемесячный расчет и оплата налогов в ИФНС и ФСС. Выдача справок сотрудникам (2-НДФЛ, о сумме... Опыт работы на аналогичной должности от 1 года. Опытный пользователь программ: 1С Бухгалтерия 8, Камин 5.0. "
Руководитель отдела по контролю качества,https://belgorod.hh.ru/vacancy/32772669?query=1c,АО Рыбокомбинат Донской,"Управление контролем качества выпускаемой продукции на основании существующих стандартов. Организация соответствия выпускаемой продукции законодательным актам РФ и ТС (маркировка, упаковка... Навыки работы в ГИС "" Меркурий"". Пунктуальность, внимательность, аккуратность. 1С и Excel. Готовность к переезду в г. Новошахтинск, Ростовской области."
Кладовщик-комплектовщик,https://belgorod.hh.ru/vacancy/34392813?query=1c,ИП Маховицкий Александр Васильевич,"Приемка , комплектовка, отгрузка товара. Выполнение погрузочно-разгрузочных работ на складе. Опыт работы. Внимательность, Ответственность. Умение работать на результат."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34501839?query=1c,ООО Система,"Ведение бухгалтерского учета ООО в полном объеме, составление и сдача налоговой и бухгалтерской отчетности, взаимодействие с гос. органами. Опыт работы более 5-ти лет на производстве. Знание программ 1С 8.3 ""Бухгалтерия предприятия"", ""Камин"", ""Сбис"", ""Клиент-банк""."
Директор интернет-магазина,https://belgorod.hh.ru/vacancy/30468422?query=1c,ООО Сириус,"Понимание принципов SEO и контекстной рекламы. Работа с 1С УТ. Решение поточных проблем обмена 1С УТ и БУС. Умение управлять проектом на базе CMS 1С-Битрикс. Наличие успешно реализованных e-commerce проектов. Отличное знание Битрикс, 1С..."
Специалист сервисного центра,https://belgorod.hh.ru/vacancy/34491664?query=1c, Pedant.ru (ИП Захаров Егор Юрьевич),"Продажа аксессуаров и дополнительных услуг. Работа с кассовым аппаратом и 1С. Проведение плановых инвентаризаций. Помощь руководителю в решении оперативных... Понимание принципов работы электроники. Приветствуется опыт в консультировании клиентов. Аккуратность, внимательность к деталям. Грамотная речь, коммуникабельность, стрессоустойчивость."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34419031?query=1c, Проектно-Строительная Компания БелЭнергоСтрой,"Формировать учетную политику в соответствии с законодательством. Организовывать бухгалтерский учет. Вести учет обязательств, денежных средств, материальных и прочих ценностей, хозяйственных... методы экономического анализа хозяйственно-финансовой деятельности предприятия. - порядок и сроки составления бухгалтерской, налоговой, статистической отчетности. - знание программ: 1С Предприятие..."
Торговый представитель,https://belgorod.hh.ru/vacancy/34298277?query=1c, Центр Крепеж СВ,"Посещение ТТ, согласно маршруту, на закрепленной территории: Ст.Оскол, Алексеевка,Н.Оскол,Чернянка,Валуйки,Бирюч,Иловка... - Работа с существующей клиентской базой.  Опыт работы в торговой сфере приветствуется. - Уверенный пользователь ПК (Word, Excel, 1C - возможно обучение). - Нацеленность на результат, стрессоустойчивость, активная..."
Инспектор по кадрам,https://belgorod.hh.ru/vacancy/34478623?query=1c," АГАТ, Управляющая компания","Внесение полной информации о количественном, качественном составе работников и их движении в программу 1С: «Зарплата и управление персоналом».  ПК–пользователь: MS Office, Internet, e-mail, 1С: Зарплата и управление персоналом 8.2."
Кассир 1С,https://belgorod.hh.ru/vacancy/34430789?query=1c,ООО ОВК ТЕРМ,"Работа с кассовым аппаратом. Работа с POS -терминалом. Оформление необходимых документов. Требования: опыт работы на должности кассира от 1 года в розничных магазинах, знание программы 1С на уровне уверенного пользователя..."
Специалист по маркетингу,https://belgorod.hh.ru/vacancy/34485238?query=1c,ИП Тараненко Игорь Витальевич,"Разработка плана мероприятий по привлечению гостей, контроль и анализ гостевого потока, развлекательных программ, участие в проработках меню. Мониторинг, определение конкурентов... Опыт работы в направлении маркетинга обязателен."
Менеджер по закупкам/Товаровед,https://belgorod.hh.ru/vacancy/34456594?query=1c,ИП Шулепова Инесса Анатольевна,"Работа с поставщиками (внешние заявки), цена/качество/стабильность поставок, договора, дебиторка, рекламации. Документооборот (первичка, заявки, накладные, инвентаризации, внутренние перемещения, списания).  желательно знание рынка поставщиков для HoReCa. - уверенный пользователь MS Office, 1С, желателен опыт работы с программами StoreHouse, Iiko или..."
Бухгалтер,https://belgorod.hh.ru/vacancy/34473240?query=1c, Управляющая компания ЖБК-1,"Расчет калькуляции, составление меню. ...1С Общепит. Требования: Высшее профильное образование. Опыт работы в должности от 3-х лет. Уверенное владение ПК (1С..."
Продавец-консультант магазина,https://belgorod.hh.ru/vacancy/34417987?query=1c," Семь Дней, Торговая Сеть","Консультирование клиента по ассортименту. Выполнение плана продаж. Работа с кассой (1с). Прием и выкладка товара. Расстановка ценников.  Законченное образование (средне-специальное или высшее). Желание работать. Коммуникабельность, умение находить контакт с любым покупателем. Доброжелательность. Пунктуальность. Высокая работоспособность. Стрессоустойчивость. "
Управляющий магазином,https://belgorod.hh.ru/vacancy/34194488?query=1c," Семь Дней, Торговая Сеть","Общее руководство деятельностью магазина. Планирование организации работы персонала для обеспечения выполнения планов по продажам магазина, контроль работы и обучение персонала.  Высшее образование (желательно экономическое, торговое, менеджмент). Знание программы 1с: 8.2 торговля+склад. Опыт управленческой работы. Отличное знание всех аспектов..."
